519356,2555947,Annina,Treptow - Köpenick,Alt  Treptow,52.491592,13.448098,Entire home/apt,37.00,7,1,1,0
458800,2281237,Antje,Pankow,Helmholtzplatz,52.540409,13.421441,Entire home/apt,209.00,2,10,2,5
638162,3183826,Anton,Neukölln,Neuköllner Mitte/Zentrum,52.482655,13.425468,Private room,19.00,1,66,1,0
265955,1394961,Antonella,Tempelhof - Schöneberg,Schöneberg-Nord,52.491646,13.349941,Entire home/apt,55.00,93,11,1,66
462459,311022,Antonia,Pankow,Prenzlauer Berg Südwest,52.532848,13.419732,Entire home/apt,70.00,4,9,1,0
815057,4242371,Antonia,Neukölln,Neuköllner Mitte/Zentrum,52.469646,13.433615,Entire home/apt,40.00,2,70,1,0
220808,1145078,Antonie,Steglitz - Zehlendorf,Ostpreußendamm,52.430103,13.326931,Private room,45.00,2,29,1,328
344856,1749470,Apostolos,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.513210,13.458255,Entire home/apt,60.00,1,138,2,314
715728,3688179,April,Mitte,Brunnenstr. Süd,52.529625,13.397388,Private room,100.00,5,18,2,234
183918,882529,Ariane,Pankow,Pankow Süd,52.557625,13.412938,Private room,35.00,15,15,1,0
782924,4128547,Arnd,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.502384,13.426840,Entire home/apt,75.00,61,20,3,279
782997,4128547,Arnd,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.503063,13.427231,Entire home/apt,75.00,61,18,3,282
229776,956350,Arne,Mitte,Alexanderplatz,52.528339,13.406338,Private room,46.00,3,106,1,236
243057,1275795,Arne & Ute,Mitte,Moabit West,52.530670,13.335320,Entire home/apt,175.00,2,24,1,362
358746,1150390,Arthur,Mitte,Regierungsviertel,52.511089,13.384048,Private room,36.00,2,65,7,23
431149,1150390,Arthur,Mitte,Regierungsviertel,52.512920,13.384025,Private room,39.00,2,18,7,0
221015,1146238,Arzu & Tom,Mitte,Wedding Zentrum,52.540630,13.351474,Entire home/apt,75.00,1,413,2,107
926670,1146238,Arzu & Tom,Mitte,Wedding Zentrum,52.542175,13.351202,Entire home/apt,75.00,1,387,2,109
409846,2040353,Ashild,Mitte,Alexanderplatz,52.526421,13.389932,Private room,180.00,2,12,1,365
250687,1310866,Ashraf,Tempelhof - Schöneberg,Schöneberg-Süd,52.484924,13.360528,Entire home/apt,52.00,3,28,2,0
823087,4321672,Asia,Pankow,Pankow Zentrum,52.570957,13.412807,Private room,50.00,5,6,1,365
857451,4484943,Assaf,Charlottenburg-Wilm.,Kantstraße,52.505486,13.311705,Entire home/apt,60.00,6,12,1,0
784500,4136661,Astrid,Pankow,Prenzlauer Berg Süd,52.532383,13.431528,Entire home/apt,79.00,5,12,1,129
249419,1306624,Au,Pankow,Helmholtzplatz,52.542999,13.424868,Entire home/apt,91.00,3,148,1,311
950245,2932912,Aureliana,Charlottenburg-Wilm.,Schloß Charlottenburg,52.513287,13.296773,Entire home/apt,95.00,4,34,2,330
115576,584750,Axel,Pankow,Blankenfelde/Niederschönhausen,52.581501,13.397859,Entire home/apt,69.00,2,3,1,344
1086138,2541103,Axel,Pankow,Prenzlauer Berg Süd,52.534901,13.430499,Entire home/apt,89.00,5,3,1,0
823885,4268630,Babis,Charlottenburg-Wilm.,Neue Kantstraße,52.500736,13.301436,Entire home/apt,80.00,3,39,1,37
726236,1316194,Baerbel,Neukölln,Rixdorf,52.470646,13.446697,Entire home/apt,47.00,30,11,2,272
1052941,5797841,Barbara,Treptow - Köpenick,Friedrichshagen,52.446068,13.616698,Entire home/apt,54.00,3,76,1,331
545065,2678998,Barbara & Patrick,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.509708,13.452684,Entire home/apt,85.00,3,8,1,0
106290,542540,Bart,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.497272,13.431767,Entire home/apt,50.00,1,154,1,315
253128,1329012,Bea,Neukölln,Reuterstraße,52.491142,13.428310,Private room,49.00,3,63,2,35
